date, precipitation
4/29/2018,1.15579307
4/30/2018,0.049107987
5/1/2018,0.582741499
5/2/2018,0.231887221
5/3/2018,6.88675213
5/4/2018,0.371641129
5/5/2018,0.001930854
5/6/2018,0.025208578
5/7/2018,0.385139883
5/8/2018,0.856892526
5/9/2018,0.423892915
5/10/2018,1.56297481
5/11/2018,3.20828199
5/12/2018,3.06696272
5/13/2018,1.67518187
5/14/2018,0.116603173
5/15/2018,0.263498157
5/16/2018,0.218436792
5/17/2018,0.022084575
5/18/2018,0.113237716
5/19/2018,0.026531916
5/20/2018,0.412707031
5/21/2018,0.298627645
5/22/2018,0.088270538
5/23/2018,0.16326189
5/24/2018,0.133858263
5/25/2018,0.030653287
5/26/2018,0.06353946
5/27/2018,0.783455431
5/28/2018,1.75782812
5/29/2018,4.15433836
5/30/2018,1.20802045
5/31/2018,1.7922622
6/1/2018,1.65519667
6/2/2018,1.46013975
6/3/2018,0.466008365
6/4/2018,0.877687693
6/5/2018,1.64588618
6/6/2018,1.85953295
6/7/2018,4.46877098
6/8/2018,10.4823732
6/9/2018,1.12099814
6/10/2018,0.19554846
6/11/2018,2.14626646
6/12/2018,0.140447766
6/13/2018,0.383822888
6/14/2018,0.573234499
6/15/2018,0.243150845
6/16/2018,0.575249135
6/17/2018,3.6769228
6/18/2018,5.38560104
6/19/2018,1.13185418
6/20/2018,0.384618729
6/21/2018,0.17911081
6/22/2018,0.008198798
6/23/2018,0.087314285
6/24/2018,0.145334646
6/25/2018,0.241307825
6/26/2018,2.46403456
6/27/2018,5.10697412
6/28/2018,4.04037857
6/29/2018,0.161404192
6/30/2018,0.593848825
7/1/2018,3.03065991
7/2/2018,1.53127992
7/3/2018,0.150002003
7/4/2018,0.303551108
7/5/2018,0.889227509
7/6/2018,0.614897668
7/7/2018,0.642074347
7/8/2018,0.764350414
7/9/2018,0.355097115
7/10/2018,0.149966598
7/11/2018,0.865502357
7/12/2018,1.40364385
7/13/2018,1.26614296
7/14/2018,0.140946969
7/15/2018,0.098319724
7/16/2018,0.032004852
7/17/2018,0.59355998
7/18/2018,0.047161356
7/19/2018,2.19676852
7/20/2018,0.889571249
7/21/2018,0.091880634
7/22/2018,0.090406217
7/23/2018,1.51311791
7/24/2018,0.184090316
7/25/2018,0.155063525
7/26/2018,0.078088768
7/27/2018,0.794012487
7/28/2018,2.74821782
7/29/2018,0.787215531
7/30/2018,0.059316892
7/31/2018,0.139901385
8/1/2018,0.020626584
8/2/2018,0.495363474
8/3/2018,3.0817337
8/4/2018,0.106818758
8/5/2018,1.89158738
8/6/2018,1.00682235
8/7/2018,1.00970805
8/8/2018,0.144844383
8/9/2018,0.007918602
8/10/2018,0.517028451
8/11/2018,0.903111398
8/12/2018,0.22086437
8/13/2018,0.080345549
8/14/2018,0.221459612
8/15/2018,0.431034058
8/16/2018,0.117752604
8/17/2018,0.660986006
8/18/2018,0.482865036
8/19/2018,2.12900996
8/20/2018,0.182439655
8/21/2018,0.320021957
8/22/2018,0.096525565
8/23/2018,0.142323777
8/24/2018,1.20168662
8/25/2018,6.19174051
8/26/2018,1.8487072
8/27/2018,0.197770253
8/28/2018,0.274831921
8/29/2018,0.745334625
8/30/2018,4.1481266
8/31/2018,5.22863722
9/1/2018,0.437599808
9/2/2018,0.380443662
9/3/2018,1.06486726
9/4/2018,0.722570717
9/5/2018,0.488837332
9/6/2018,6.06964588
9/7/2018,2.77156949
9/8/2018,0.202406704
9/9/2018,0.05332147
9/10/2018,0.004203924
9/11/2018,0.288734317
9/12/2018,0.013535006
9/13/2018,0.070014641
9/14/2018,0.122966863
9/15/2018,0.682370424
9/16/2018,0.031855457
9/17/2018,0.018030876
9/18/2018,0.279277295
9/19/2018,0.220634148
9/20/2018,0.166094303
9/21/2018,0.071320586
9/22/2018,0.449885428
9/23/2018,0.43505919
9/24/2018,0.277954131
9/25/2018,1.29875743
9/26/2018,1.46714592
9/27/2018,0
9/28/2018,1.00926721
9/29/2018,0.526676178
9/30/2018,0.041066218
10/1/2018,0.072448671
10/2/2018,1.51295424
10/3/2018,6.47659397
10/4/2018,7.20225143
10/5/2018,2.27163172
10/6/2018,1.10023439
10/7/2018,1.0952214
10/8/2018,1.12892866
10/9/2018,2.75570846
10/10/2018,4.32771492
10/11/2018,1.20559525
10/12/2018,1.90878308
10/13/2018,0.808083057
10/14/2018,1.09752381
10/15/2018,2.33899522
10/16/2018,4.14891863
10/17/2018,3.80000591
10/18/2018,0.931869388
10/19/2018,1.02756906
10/20/2018,9.08432102
10/21/2018,0.659399629
10/22/2018,0.03510892
10/23/2018,0.069590479
10/24/2018,0.565193117
10/25/2018,0.418212354
10/26/2018,0.011984208
10/27/2018,0.76966846
10/28/2018,0.815620065
10/29/2018,0.137030676
10/30/2018,0.030058244
10/31/2018,0.01360379
11/1/2018,0.716965675
11/2/2018,2.5575738
11/3/2018,0.16920729
11/4/2018,1.39820302
11/5/2018,3.69609594
11/6/2018,6.17342615
11/7/2018,12.6165037
11/8/2018,0.090101615
11/9/2018,0.742870808
11/10/2018,0.028325291
11/11/2018,0.002035147
11/12/2018,0.453851432
11/13/2018,5.4394784
11/14/2018,0.984342396
11/15/2018,0.497317195
11/16/2018,0.204855844
11/17/2018,0.32416603
11/18/2018,0.226755977
11/19/2018,0.135131463
11/20/2018,5.90267515
11/21/2018,5.27215099
11/22/2018,0.820294678
11/23/2018,1.06240261
11/24/2018,0.527403772
11/25/2018,0.350948483
11/26/2018,0.241284743
11/27/2018,6.46679163
11/28/2018,3.13634443
11/29/2018,0.084394597
11/30/2018,0.009525642
12/1/2018,0.818532228
12/2/2018,0.041849315
12/3/2018,0.144747034
12/4/2018,0.121281162
12/5/2018,0.012485608
12/6/2018,0.001083791
12/7/2018,0.284467757
12/8/2018,1.06619239
12/9/2018,2.90598321
12/10/2018,2.21312451
12/11/2018,2.69050574
